age,job,marital,education,balance,duration,approval
57.0,housemaid,married,primary,7082,69.0,no
51.0,unemployed,married,tertiary,1634,168.0,no
34.0,admin.,single,secondary,1,483.0,no
50.0,self-employed,married,tertiary,4012,690.0,no
44.0,management,married,tertiary,3762,125.0,no
27.0,admin.,married,secondary,-247,344.0,no
50.0,blue-collar,married,secondary,606,673.0,no
36.0,management,married,tertiary,0,60.0,no
42.0,management,married,secondary,-189,247.0,no
32.0,unemployed,single,secondary,0,123.0,no
42.0,management,married,tertiary,484,144.0,no
43.0,technician,married,secondary,0,9.0,no
31.0,management,married,tertiary,395,155.0,no
32.0,management,married,tertiary,2349,134.0,no
55.0,blue-collar,divorced,primary,410,221.0,no
58.0,retired,married,primary,3401,84.0,no
46.0,blue-collar,married,primary,222,71.0,no
55.0,blue-collar,married,secondary,989,246.0,no
34.0,management,married,tertiary,415,361.0,no
28.0,unemployed,single,secondary,16,119.0,no
42.0,technician,divorced,tertiary,7190,375.0,no
29.0,blue-collar,single,secondary,482,1097.0,yes
54.0,housemaid,married,secondary,209,97.0,no
32.0,technician,single,secondary,0,181.0,no
39.0,technician,single,tertiary,5803,83.0,no
53.0,entrepreneur,married,tertiary,624,180.0,no
58.0,technician,married,tertiary,883,543.0,no
40.0,self-employed,married,secondary,1516,373.0,no
29.0,student,single,secondary,872,230.0,no
33.0,technician,married,tertiary,-988,83.0,no
38.0,admin.,single,secondary,902,58.0,no
56.0,services,divorced,secondary,1007,88.0,no
40.0,services,married,secondary,0,297.0,no
24.0,blue-collar,single,secondary,174,487.0,yes
46.0,management,married,secondary,12186,29.0,no
35.0,self-employed,married,secondary,524,484.0,no
35.0,blue-collar,single,tertiary,0,262.0,no
34.0,technician,married,secondary,4,644.0,no
35.0,housemaid,married,tertiary,11219,699.0,no
38.0,technician,single,tertiary,0,247.0,no
50.0,blue-collar,married,primary,5776,49.0,no
51.0,blue-collar,divorced,primary,37,341.0,no
59.0,self-employed,married,tertiary,593,64.0,no
32.0,blue-collar,married,secondary,1148,121.0,no
37.0,blue-collar,single,secondary,3561,98.0,no
42.0,admin.,divorced,secondary,63,88.0,no
40.0,student,married,secondary,260,197.0,no
28.0,technician,single,tertiary,2269,331.0,no
47.0,admin.,married,secondary,1060,83.0,no
27.0,self-employed,married,secondary,-220,138.0,no
41.0,management,married,tertiary,49,312.0,no
34.0,admin.,married,tertiary,69,120.0,yes
50.0,blue-collar,married,primary,4108,526.0,yes
47.0,blue-collar,married,secondary,480,211.0,no
53.0,services,married,secondary,4994,62.0,no
53.0,technician,divorced,secondary,0,135.0,no
47.0,management,married,tertiary,3681,101.0,no
49.0,entrepreneur,divorced,unknown,-701,988.0,yes
29.0,management,married,tertiary,451,451.0,no
45.0,blue-collar,divorced,primary,-311,1030.0,yes
38.0,entrepreneur,married,secondary,593,1484.0,yes
32.0,blue-collar,married,secondary,759,317.0,yes
70.0,retired,divorced,primary,4531,445.0,no
65.0,retired,divorced,primary,1840,383.0,no
56.0,blue-collar,married,secondary,345,605.0,no
35.0,blue-collar,married,secondary,1287,330.0,no
56.0,management,married,unknown,353,171.0,no
56.0,technician,married,secondary,205,442.0,no
49.0,entrepreneur,married,secondary,687,772.0,yes
38.0,unemployed,married,primary,1147,249.0,no
35.0,management,married,tertiary,4286,357.0,no
38.0,admin.,married,tertiary,605,147.0,no
49.0,blue-collar,married,secondary,8545,199.0,no
55.0,management,married,unknown,559,271.0,no
43.0,blue-collar,single,primary,2,783.0,no
43.0,management,married,tertiary,2,472.0,no
25.0,admin.,single,tertiary,760,223.0,yes
30.0,blue-collar,married,primary,1317,395.0,no
46.0,blue-collar,married,secondary,182,56.0,no
50.0,admin.,married,primary,276,641.0,no
35.0,entrepreneur,married,secondary,2971,429.0,yes
26.0,unemployed,single,secondary,1064,113.0,no
45.0,admin.,married,unknown,1783,11.0,no
37.0,blue-collar,married,secondary,-67,157.0,no
60.0,self-employed,single,tertiary,179,79.0,no
38.0,management,married,tertiary,1199,178.0,yes
47.0,blue-collar,married,primary,214,168.0,no
33.0,technician,married,secondary,6699,425.0,no
51.0,unemployed,married,secondary,1760,162.0,no
35.0,entrepreneur,single,tertiary,145,-799.0,yes
35.0,unemployed,married,secondary,978,1370.0,yes
48.0,admin.,single,secondary,1150,357.0,no
37.0,admin.,married,secondary,121,22.0,no
29.0,technician,single,tertiary,828,215.0,no
34.0,admin.,married,secondary,244,56.0,no
32.0,services,married,primary,228,1017.0,yes
30.0,management,single,tertiary,424,298.0,yes
47.0,management,divorced,tertiary,447,126.0,no
33.0,blue-collar,married,primary,-195,9.0,no
33.0,management,single,tertiary,1410,8.0,no
63.0,retired,married,primary,1084,201.0,no
51.0,self-employed,divorced,primary,10924,106.0,no
41.0,management,married,tertiary,832,164.0,no
56.0,retired,married,tertiary,478,97.0,no
60.0,management,single,tertiary,0,151.0,no
41.0,self-employed,single,tertiary,3950,96.0,no
37.0,management,single,unknown,504,555.0,no
36.0,blue-collar,single,secondary,219,270.0,no
57.0,management,married,tertiary,1602,339.0,no
55.0,management,married,primary,2587,328.0,yes
44.0,admin.,married,secondary,0,159.0,no
47.0,self-employed,married,tertiary,2303,323.0,no
31.0,blue-collar,married,secondary,1660,342.0,no
35.0,management,married,tertiary,32,180.0,no
39.0,management,married,tertiary,278,60.0,no
50.0,management,married,tertiary,4,223.0,no
29.0,management,married,tertiary,318,1434.0,no
30.0,services,single,secondary,209,30.0,no
46.0,services,married,secondary,271,134.0,no
27.0,management,single,unknown,3196,10.0,no
48.0,admin.,divorced,secondary,4099,397.0,yes
26.0,student,single,secondary,2572,620.0,no
36.0,management,single,tertiary,339,6.0,no
42.0,blue-collar,married,primary,0,209.0,no
50.0,housemaid,married,primary,395,419.0,no
49.0,blue-collar,married,secondary,2039,283.0,no
45.0,management,married,tertiary,5450,188.0,no
23.0,student,single,secondary,780,267.0,no
38.0,technician,single,secondary,0,196.0,no
32.0,management,single,tertiary,8436,245.0,no
60.0,technician,single,primary,11262,323.0,yes
30.0,entrepreneur,married,secondary,946,1065.0,no
58.0,housemaid,married,tertiary,497,138.0,no
60.0,retired,married,primary,55,207.0,no
38.0,services,married,secondary,-140,456.0,no
51.0,technician,married,secondary,-379,261.0,no
42.0,admin.,married,secondary,-396,80.0,no
30.0,services,single,secondary,0,131.0,no
40.0,management,married,primary,733,94.0,no
37.0,management,married,tertiary,393,567.0,yes
53.0,technician,divorced,primary,7290,153.0,no
27.0,services,single,secondary,468,109.0,no
39.0,blue-collar,married,secondary,0,53.0,no
39.0,blue-collar,married,primary,3705,77.0,no
59.0,retired,married,tertiary,9676,234.0,yes
37.0,services,married,secondary,1328,121.0,no
41.0,blue-collar,married,primary,8,155.0,no
45.0,blue-collar,married,primary,61,108.0,no
48.0,management,married,tertiary,6613,159.0,no
48.0,technician,married,secondary,302,208.0,no
32.0,blue-collar,married,secondary,1005,215.0,no
35.0,services,married,secondary,109,597.0,no
33.0,management,single,tertiary,1240,505.0,no
28.0,blue-collar,single,primary,0,380.0,no
64.0,retired,married,unknown,2923,120.0,no
35.0,technician,married,secondary,0,106.0,no
33.0,blue-collar,married,secondary,43,332.0,no
41.0,technician,married,secondary,288,221.0,no
34.0,admin.,married,secondary,613,80.0,no
37.0,technician,single,tertiary,6101,60.0,no
38.0,blue-collar,married,primary,168,212.0,no
39.0,blue-collar,married,primary,7685,493.0,no
35.0,technician,divorced,tertiary,4515,98.0,no
28.0,blue-collar,single,secondary,517,681.0,yes
27.0,blue-collar,single,secondary,148,203.0,no
48.0,retired,married,primary,-285,157.0,no
50.0,blue-collar,married,secondary,887,287.0,no
45.0,self-employed,married,secondary,3098,159.0,no
41.0,technician,married,tertiary,744,125.0,no
39.0,technician,married,secondary,130,202.0,no
44.0,management,married,secondary,438,37.0,no
54.0,admin.,married,secondary,0,161.0,yes
49.0,management,married,tertiary,322,72.0,no
34.0,blue-collar,single,secondary,186,342.0,no
75.0,retired,divorced,tertiary,3810,262.0,yes
42.0,management,married,tertiary,0,325.0,no
53.0,blue-collar,married,secondary,4380,223.0,no
49.0,management,divorced,tertiary,755,1212.0,yes
31.0,services,single,secondary,2070,319.0,no
45.0,blue-collar,single,primary,999,182.0,no
39.0,self-employed,married,secondary,167,330.0,no
46.0,technician,married,secondary,1322,514.0,no
42.0,admin.,divorced,secondary,1076,213.0,no
37.0,management,married,tertiary,502,551.0,no
26.0,technician,single,tertiary,1216,472.0,no
37.0,management,single,tertiary,876,140.0,no
36.0,services,single,secondary,342,142.0,no
29.0,blue-collar,single,primary,950,135.0,no
36.0,blue-collar,married,primary,973,293.0,no
26.0,technician,married,tertiary,3825,107.0,no
32.0,blue-collar,married,secondary,2366,127.0,no
40.0,management,married,tertiary,542,1816.0,no
53.0,management,married,primary,995,200.0,no
29.0,management,married,tertiary,20,418.0,no
34.0,technician,single,tertiary,228,387.0,no
43.0,blue-collar,married,secondary,130,156.0,no
56.0,management,married,tertiary,217,121.0,no
55.0,entrepreneur,divorced,tertiary,0,108.0,no
31.0,self-employed,married,tertiary,259,47.0,no
27.0,admin.,single,secondary,619,16.0,no
36.0,management,married,secondary,644,54.0,no
44.0,management,married,tertiary,22,265.0,no
37.0,admin.,divorced,tertiary,4303,168.0,no
30.0,admin.,single,secondary,239,115.0,no
42.0,technician,single,secondary,275,31.0,no
30.0,management,married,tertiary,1221,279.0,yes
62.0,retired,married,secondary,816,28.0,no
24.0,blue-collar,married,secondary,1222,369.0,no
31.0,technician,married,secondary,2363,247.0,no
66.0,retired,married,tertiary,2262,155.0,no
47.0,admin.,married,secondary,2,89.0,no
39.0,entrepreneur,married,tertiary,2,180.0,no
35.0,technician,married,secondary,4508,854.0,yes
35.0,admin.,divorced,secondary,-402,46.0,no
27.0,technician,married,secondary,1577,266.0,no
32.0,blue-collar,married,secondary,34,321.0,no
44.0,management,married,tertiary,795,99.0,no
42.0,blue-collar,married,secondary,117,147.0,no
34.0,self-employed,,tertiary,5462,430.0,yes
25.0,services,single,secondary,402,264.0,no
40.0,technician,single,secondary,641,156.0,no
43.0,management,divorced,tertiary,36,118.0,no
55.0,unemployed,married,tertiary,383,343.0,no
50.0,blue-collar,married,secondary,283,226.0,no
45.0,management,divorced,tertiary,0,5.0,no
35.0,blue-collar,divorced,secondary,3102,138.0,no
32.0,blue-collar,married,secondary,889,185.0,yes
59.0,housemaid,married,secondary,0,722.0,no
34.0,self-employed,married,secondary,-370,748.0,no
39.0,management,married,tertiary,-606,142.0,no
40.0,management,single,secondary,10378,523.0,no
36.0,blue-collar,single,primary,1313,8.0,no
40.0,management,married,tertiary,8969,153.0,no
55.0,self-employed,married,secondary,-196,210.0,no
38.0,entrepreneur,married,secondary,15,121.0,no
61.0,admin.,married,secondary,4608,212.0,yes
41.0,management,married,tertiary,666,253.0,no
57.0,blue-collar,married,primary,452,139.0,no
48.0,blue-collar,married,secondary,149,71.0,no
77.0,retired,married,tertiary,7802,421.0,yes
35.0,services,married,secondary,1453,199.0,no
54.0,blue-collar,married,secondary,1480,108.0,no
37.0,management,single,unknown,715,247.0,no
56.0,management,single,secondary,237,236.0,no
40.0,technician,married,secondary,694,97.0,no
40.0,management,married,tertiary,0,109.0,no
54.0,management,married,tertiary,55,112.0,no
55.0,housemaid,married,primary,136,15.0,no
55.0,services,divorced,secondary,-404,502.0,no
52.0,blue-collar,married,primary,779,30.0,no
55.0,blue-collar,single,primary,1187,193.0,no
33.0,management,married,tertiary,641,347.0,no
52.0,blue-collar,married,unknown,826,468.0,no
33.0,services,divorced,secondary,991,148.0,no
53.0,admin.,married,secondary,1796,295.0,yes
46.0,admin.,married,secondary,22,388.0,yes
44.0,technician,single,secondary,244,1735.0,yes
48.0,management,divorced,tertiary,1328,339.0,no
50.0,housemaid,married,secondary,7317,172.0,no
34.0,technician,single,secondary,4943,117.0,no
38.0,technician,single,secondary,258,587.0,no
42.0,management,single,tertiary,515,501.0,no
32.0,management,single,tertiary,12607,203.0,no
58.0,admin.,married,secondary,2,282.0,no
31.0,management,married,tertiary,13,110.0,no
19.0,student,single,primary,103,104.0,yes
41.0,management,married,tertiary,3872,231.0,no
31.0,unemployed,married,secondary,296,378.0,no
52.0,self-employed,single,primary,217,193.0,no
42.0,self-employed,divorced,tertiary,360,110.0,no
41.0,blue-collar,single,secondary,428,92.0,no
30.0,blue-collar,single,secondary,315,1407.0,yes
38.0,blue-collar,married,secondary,121,168.0,no
32.0,management,married,tertiary,820,738.0,no
52.0,technician,married,secondary,195,220.0,yes
48.0,management,divorced,tertiary,108,89.0,no
36.0,management,married,tertiary,-381,30.0,no
45.0,unemployed,divorced,primary,757,103.0,no
34.0,technician,married,tertiary,691,70.0,no
36.0,blue-collar,married,primary,1925,904.0,yes
34.0,management,married,tertiary,902,159.0,no
61.0,retired,married,secondary,5207,336.0,no
54.0,services,married,secondary,0,220.0,no
50.0,entrepreneur,married,secondary,665,238.0,no
43.0,admin.,divorced,secondary,738,585.0,no
47.0,blue-collar,married,primary,233,293.0,no
45.0,services,married,secondary,-839,68.0,no
57.0,retired,married,primary,5799,97.0,no
27.0,admin.,married,secondary,1033,1713.0,no
49.0,unemployed,divorced,secondary,66,218.0,no
43.0,services,married,primary,2567,109.0,no
40.0,management,married,tertiary,1584,661.0,no
32.0,services,single,secondary,182,145.0,no
58.0,management,married,primary,76,54.0,no
34.0,admin.,single,secondary,663,111.0,no
46.0,technician,divorced,secondary,3455,566.0,no
29.0,blue-collar,married,secondary,15,136.0,no
52.0,blue-collar,married,primary,1054,273.0,no
45.0,management,married,tertiary,1529,160.0,no
26.0,management,single,secondary,63,76.0,no
40.0,technician,married,tertiary,0,44.0,no
41.0,admin.,married,secondary,920,239.0,no
47.0,admin.,single,secondary,3696,250.0,yes
27.0,technician,single,unknown,59,792.0,no
27.0,services,married,secondary,0,198.0,no
48.0,blue-collar,married,secondary,157,73.0,no
49.0,admin.,married,secondary,2465,157.0,no
35.0,blue-collar,married,primary,0,90.0,no
47.0,self-employed,married,secondary,2,236.0,no
54.0,management,married,tertiary,0,118.0,no
39.0,management,single,tertiary,12437,40.0,no
28.0,student,single,secondary,378,346.0,no
54.0,blue-collar,married,primary,211,200.0,no
34.0,technician,married,secondary,-228,187.0,no
63.0,retired,married,secondary,2747,113.0,no
42.0,self-employed,married,tertiary,1932,192.0,no
43.0,technician,single,secondary,11269,92.0,no
37.0,admin.,married,secondary,1314,682.0,no
55.0,blue-collar,married,primary,2275,139.0,no
43.0,management,single,tertiary,1304,501.0,yes
41.0,blue-collar,married,secondary,720,651.0,yes
47.0,technician,divorced,secondary,2914,405.0,no
34.0,technician,married,secondary,1464,350.0,no
28.0,student,single,secondary,11555,125.0,no
36.0,services,married,secondary,-302,36.0,no
50.0,technician,married,secondary,2497,35.0,no
35.0,blue-collar,married,secondary,-339,389.0,no
40.0,technician,married,secondary,56,194.0,no
26.0,self-employed,single,tertiary,211,168.0,no
36.0,management,divorced,tertiary,3611,347.0,no
59.0,unemployed,married,primary,0,3025.0,no
28.0,student,single,secondary,459,83.0,no
46.0,entrepreneur,married,unknown,242,332.0,no
50.0,self-employed,married,secondary,1138,219.0,no
53.0,management,married,tertiary,1319,427.0,no
81.0,retired,married,secondary,1,65.0,no
35.0,services,divorced,secondary,67,192.0,no
58.0,retired,married,unknown,937,155.0,no
44.0,services,married,secondary,0,161.0,no
38.0,management,married,tertiary,-558,533.0,no
49.0,blue-collar,married,secondary,171,19.0,no
33.0,technician,single,tertiary,696,193.0,no
29.0,management,married,tertiary,361,819.0,no
28.0,technician,single,secondary,227,278.0,yes
31.0,admin.,married,secondary,236,211.0,no
33.0,management,single,tertiary,-53,617.0,no
52.0,technician,married,secondary,192,61.0,no
43.0,management,divorced,tertiary,38,197.0,no
32.0,self-employed,single,secondary,518,34.0,no
36.0,self-employed,married,tertiary,16,95.0,no
41.0,blue-collar,married,secondary,-256,147.0,no
43.0,blue-collar,married,secondary,105,668.0,no
45.0,self-employed,married,tertiary,334,87.0,no
39.0,technician,married,secondary,1048,405.0,no
41.0,services,married,secondary,108,83.0,no
31.0,technician,married,secondary,660,115.0,no
37.0,unemployed,single,tertiary,0,108.0,no
28.0,entrepreneur,married,unknown,1034,113.0,no
47.0,housemaid,married,primary,201,58.0,no
37.0,housemaid,married,primary,189,148.0,no
60.0,retired,divorced,unknown,-49,188.0,no
43.0,technician,divorced,secondary,1413,75.0,no
58.0,retired,divorced,tertiary,264,523.0,no
52.0,entrepreneur,married,tertiary,54,103.0,no
50.0,blue-collar,married,primary,12519,146.0,no
32.0,services,single,secondary,2881,356.0,yes
42.0,blue-collar,married,primary,0,71.0,no
31.0,admin.,married,secondary,88,189.0,no
28.0,blue-collar,married,secondary,1020,251.0,no
36.0,technician,divorced,tertiary,119,127.0,no
51.0,unemployed,single,tertiary,1594,197.0,no
46.0,technician,married,tertiary,342,84.0,no
50.0,services,single,secondary,72,141.0,no
32.0,blue-collar,married,secondary,14,171.0,no
26.0,entrepreneur,single,tertiary,81,262.0,no
41.0,self-employed,married,tertiary,231,352.0,yes
