job,marital,education,housing,approval,age,balance,duration,campaign
1,1,0,1,0,49.0,0,97.0,6
6,1,1,1,0,33.0,215,543.0,12
4,2,2,0,0,30.0,1372,240.0,2
7,1,1,0,0,36.0,1981,48.0,2
8,2,1,0,0,23.0,9216,471.0,2
5,0,1,1,0,57.0,39,354.0,3
1,2,1,1,0,27.0,5563,435.0,2
7,1,1,0,0,38.0,1,152.0,2
9,1,2,0,0,42.0,782,285.0,1
5,1,1,0,1,75.0,3771,185.0,1
9,2,2,1,0,34.0,992,301.0,1
9,1,1,0,0,48.0,1526,273.0,2
9,2,2,1,1,35.0,2658,768.0,2
4,0,2,1,0,39.0,1315,1337.0,4
1,2,2,0,1,29.0,455,403.0,1
9,2,2,1,0,45.0,0,139.0,2
9,1,1,1,0,42.0,2030,196.0,1
9,1,1,1,0,29.0,1599,115.0,1
7,2,1,1,0,38.0,-196,60.0,1
5,1,1,0,0,56.0,1333,17.0,14
9,2,1,1,0,36.0,9149,141.0,3
1,2,1,1,0,25.0,-350,95.0,3
9,1,2,1,0,38.0,432,10.0,2
6,1,1,0,0,57.0,11494,198.0,1
4,1,2,0,0,31.0,-253,220.0,4
4,1,2,1,1,42.0,372,654.0,2
9,1,1,0,0,45.0,1410,71.0,2
1,1,1,1,0,30.0,975,256.0,2
1,1,0,1,0,49.0,305,834.0,10
7,1,1,0,0,49.0,400,151.0,3
5,1,2,1,0,53.0,-22,20.0,3
9,1,1,1,0,37.0,4030,178.0,5
1,1,0,0,0,49.0,365,59.0,2
6,1,0,0,0,41.0,204,111.0,7
4,1,0,1,0,54.0,1691,186.0,1
7,2,1,1,0,32.0,406,227.0,1
9,1,1,0,0,33.0,-204,297.0,3
9,1,1,1,0,33.0,359,210.0,1
1,1,0,1,0,36.0,123,9.0,1
9,1,2,1,0,35.0,0,112.0,1
11,1,1,0,0,52.0,142,112.0,6
2,1,2,0,0,40.0,3571,222.0,3
9,2,1,1,0,44.0,33,195.0,3
1,2,1,1,0,45.0,0,768.0,2
8,2,1,0,0,30.0,3096,123.0,1
9,0,1,0,0,48.0,20,145.0,3
1,1,1,1,0,33.0,3576,124.0,1
9,1,3,1,0,57.0,206,216.0,3
3,1,0,0,0,57.0,7082,69.0,3
10,1,2,1,0,51.0,1634,168.0,4
0,2,1,1,0,34.0,1,483.0,7
6,1,2,0,0,50.0,4012,690.0,3
4,1,2,0,0,44.0,3762,125.0,12
0,1,1,1,0,27.0,-247,344.0,2
1,1,1,1,0,50.0,606,673.0,2
4,1,2,1,0,36.0,0,60.0,1
4,1,1,1,0,42.0,-189,247.0,2
10,2,1,0,0,32.0,0,123.0,2
4,1,2,1,0,42.0,484,144.0,2
9,1,1,0,0,43.0,0,9.0,2
4,1,2,1,0,31.0,395,155.0,3
4,1,2,0,0,32.0,2349,134.0,5
1,0,0,0,0,55.0,410,221.0,2
5,1,0,1,0,58.0,3401,84.0,3
1,1,0,0,0,46.0,222,71.0,2
1,1,1,1,0,55.0,989,246.0,4
4,1,2,0,0,34.0,415,361.0,2
10,2,1,0,0,28.0,16,119.0,4
9,0,2,1,0,42.0,7190,375.0,2
1,2,1,0,1,29.0,482,1097.0,3
3,1,1,1,0,54.0,209,97.0,1
9,2,1,0,0,32.0,0,181.0,2
9,2,2,0,0,39.0,5803,83.0,3
2,1,2,0,0,53.0,624,180.0,4
9,1,2,0,0,58.0,883,543.0,1
6,1,1,1,0,40.0,1516,373.0,1
8,2,1,1,0,29.0,872,230.0,1
9,1,2,1,0,33.0,-988,83.0,3
0,2,1,1,0,38.0,902,58.0,13
7,0,1,0,0,56.0,1007,88.0,6
7,1,1,1,0,40.0,0,297.0,1
1,2,1,1,1,24.0,174,487.0,1
4,1,1,0,0,46.0,12186,29.0,3
6,1,1,1,0,35.0,524,484.0,4
1,2,2,1,0,35.0,0,262.0,4
9,1,1,1,0,34.0,4,644.0,1
3,1,2,0,0,35.0,11219,699.0,2
9,2,2,0,0,38.0,0,247.0,2
1,1,0,0,0,50.0,5776,49.0,3
1,0,0,1,0,51.0,37,341.0,1
6,1,2,0,0,59.0,593,64.0,2
1,1,1,1,0,32.0,1148,121.0,1
1,2,1,1,0,37.0,3561,98.0,1
0,0,1,0,0,42.0,63,88.0,6
8,1,1,0,0,40.0,260,197.0,6
9,2,2,1,0,28.0,2269,331.0,1
0,1,1,1,0,47.0,1060,83.0,3
6,1,1,1,0,27.0,-220,138.0,2
4,1,2,1,0,41.0,49,312.0,5
0,1,2,0,1,34.0,69,120.0,3
1,1,0,1,1,50.0,4108,526.0,2
1,1,1,1,0,47.0,480,211.0,2
7,1,1,0,0,53.0,4994,62.0,6
9,0,1,1,0,53.0,0,135.0,5
4,1,2,0,0,47.0,3681,101.0,2
2,0,3,1,1,49.0,-701,988.0,2
4,1,2,0,0,29.0,451,451.0,1
1,0,0,1,1,45.0,-311,1030.0,1
2,1,1,1,1,38.0,593,1484.0,24
1,1,1,1,1,32.0,759,317.0,5
5,0,0,0,0,70.0,4531,445.0,1
5,0,0,0,0,65.0,1840,383.0,2
1,1,1,1,0,56.0,345,605.0,1
1,1,1,1,0,35.0,1287,330.0,2
4,1,3,0,0,56.0,353,171.0,2
9,1,1,0,0,56.0,205,442.0,2
2,1,1,1,1,49.0,687,772.0,1
10,1,0,1,0,38.0,1147,249.0,5
4,1,2,1,0,35.0,4286,357.0,1
0,1,2,0,0,38.0,605,147.0,2
1,1,1,1,0,49.0,8545,199.0,7
4,1,3,0,0,55.0,559,271.0,2
1,2,0,1,0,43.0,2,783.0,3
4,1,2,0,0,43.0,2,472.0,2
0,2,2,1,1,25.0,760,223.0,3
1,1,0,1,0,30.0,1317,395.0,2
1,1,1,0,0,46.0,182,56.0,1
0,1,0,0,0,50.0,276,641.0,6
2,1,1,0,1,35.0,2971,429.0,4
10,2,1,0,0,26.0,1064,113.0,1
0,1,3,0,0,45.0,1783,11.0,11
1,1,1,0,0,37.0,-67,157.0,1
6,2,2,0,0,60.0,179,79.0,4
4,1,2,0,1,38.0,1199,178.0,1
1,1,0,1,0,47.0,214,168.0,1
9,1,1,0,0,33.0,6699,425.0,1
10,1,1,0,0,51.0,1760,162.0,1
2,2,2,1,1,35.0,145,-799.0,2
10,1,1,0,1,35.0,978,1370.0,3
0,2,1,1,0,48.0,1150,357.0,1
0,1,1,0,0,37.0,121,22.0,6
9,2,2,1,0,29.0,828,215.0,3
0,1,1,1,0,34.0,244,56.0,4
7,1,0,1,1,32.0,228,1017.0,6
4,2,2,0,1,30.0,424,298.0,4
4,0,2,0,0,47.0,447,126.0,1
1,1,0,0,0,33.0,-195,9.0,1
4,2,2,1,0,33.0,1410,8.0,1
5,1,0,0,0,63.0,1084,201.0,1
6,0,0,0,0,51.0,10924,106.0,2
4,1,2,1,0,41.0,832,164.0,1
5,1,2,0,0,56.0,478,97.0,1
4,2,2,0,0,60.0,0,151.0,1
6,2,2,1,0,41.0,3950,96.0,2
4,2,3,1,0,37.0,504,555.0,1
1,2,1,1,0,36.0,219,270.0,2
4,1,2,0,0,57.0,1602,339.0,3
4,1,0,0,1,55.0,2587,328.0,2
0,1,1,1,0,44.0,0,159.0,1
6,1,2,1,0,47.0,2303,323.0,2
1,1,1,1,0,31.0,1660,342.0,1
4,1,2,1,0,35.0,32,180.0,1
4,1,2,0,0,39.0,278,60.0,3
4,1,2,0,0,50.0,4,223.0,1
4,1,2,1,0,29.0,318,1434.0,2
7,2,1,1,0,30.0,209,30.0,2
7,1,1,1,0,46.0,271,134.0,4
4,2,3,0,0,27.0,3196,10.0,2
0,0,1,0,1,48.0,4099,397.0,2
8,2,1,1,0,26.0,2572,620.0,1
4,2,2,0,0,36.0,339,6.0,6
1,1,0,1,0,42.0,0,209.0,2
3,1,0,1,0,50.0,395,419.0,2
1,1,1,1,0,49.0,2039,283.0,2
4,1,2,0,0,45.0,5450,188.0,2
8,2,1,0,0,23.0,780,267.0,1
9,2,1,1,0,38.0,0,196.0,2
4,2,2,1,0,32.0,8436,245.0,1
9,2,0,0,1,60.0,11262,323.0,1
2,1,1,1,0,30.0,946,1065.0,1
3,1,2,0,0,58.0,497,138.0,5
5,1,0,0,0,60.0,55,207.0,1
7,1,1,0,0,38.0,-140,456.0,3
9,1,1,1,0,51.0,-379,261.0,1
0,1,1,1,0,42.0,-396,80.0,1
7,2,1,1,0,30.0,0,131.0,6
4,1,0,1,0,40.0,733,94.0,7
4,1,2,1,1,37.0,393,567.0,3
9,0,0,1,0,53.0,7290,153.0,1
7,2,1,1,0,27.0,468,109.0,1
1,1,1,1,0,39.0,0,53.0,1
1,1,0,1,0,39.0,3705,77.0,1
5,1,2,0,1,59.0,9676,234.0,2
7,1,1,1,0,37.0,1328,121.0,2
1,1,0,1,0,41.0,8,155.0,2
1,1,0,0,0,45.0,61,108.0,1
4,1,2,0,0,48.0,6613,159.0,3
9,1,1,1,0,48.0,302,208.0,3
1,1,1,0,0,32.0,1005,215.0,1
7,1,1,1,0,35.0,109,597.0,3
4,2,2,1,0,33.0,1240,505.0,2
1,2,0,1,0,28.0,0,380.0,4
5,1,3,0,0,64.0,2923,120.0,1
9,1,1,0,0,35.0,0,106.0,4
1,1,1,1,0,33.0,43,332.0,2
9,1,1,1,0,41.0,288,221.0,4
0,1,1,1,0,34.0,613,80.0,1
9,2,2,0,0,37.0,6101,60.0,5
1,1,0,1,0,38.0,168,212.0,3
1,1,0,1,0,39.0,7685,493.0,3
9,0,2,1,0,35.0,4515,98.0,2
1,2,1,0,1,28.0,517,681.0,1
1,2,1,0,0,27.0,148,203.0,1
5,1,0,0,0,48.0,-285,157.0,1
1,1,1,0,0,50.0,887,287.0,1
6,1,1,1,0,45.0,3098,159.0,2
9,1,2,1,0,41.0,744,125.0,1
9,1,1,0,0,39.0,130,202.0,2
4,1,1,1,0,44.0,438,37.0,3
0,1,1,0,1,54.0,0,161.0,1
4,1,2,0,0,49.0,322,72.0,4
1,2,1,0,0,34.0,186,342.0,1
5,0,2,1,1,75.0,3810,262.0,1
4,1,2,0,0,42.0,0,325.0,2
1,1,1,0,0,53.0,4380,223.0,7
4,0,2,0,1,49.0,755,1212.0,4
7,2,1,0,0,31.0,2070,319.0,2
1,2,0,0,0,45.0,999,182.0,2
6,1,1,1,0,39.0,167,330.0,1
9,1,1,1,0,46.0,1322,514.0,1
0,0,1,1,0,42.0,1076,213.0,1
4,1,2,1,0,37.0,502,551.0,1
9,2,2,1,0,26.0,1216,472.0,2
4,2,2,1,0,37.0,876,140.0,4
7,2,1,1,0,36.0,342,142.0,1
1,2,0,1,0,29.0,950,135.0,3
1,1,0,1,0,36.0,973,293.0,1
9,1,2,1,0,26.0,3825,107.0,1
1,1,1,1,0,32.0,2366,127.0,2
4,1,2,1,0,40.0,542,1816.0,1
4,1,0,0,0,53.0,995,200.0,3
4,1,2,1,0,29.0,20,418.0,1
9,2,2,1,0,34.0,228,387.0,4
1,1,1,0,0,43.0,130,156.0,1
4,1,2,0,0,56.0,217,121.0,2
2,0,2,0,0,55.0,0,108.0,2
6,1,2,1,0,31.0,259,47.0,1
0,2,1,1,0,27.0,619,16.0,5
4,1,1,1,0,36.0,644,54.0,2
4,1,2,1,0,44.0,22,265.0,2
0,0,2,1,0,37.0,4303,168.0,1
0,2,1,1,0,30.0,239,115.0,3
9,2,1,0,0,42.0,275,31.0,8
4,1,2,1,1,30.0,1221,279.0,4
5,1,1,0,0,62.0,816,28.0,2
1,1,1,1,0,24.0,1222,369.0,1
9,1,1,1,0,31.0,2363,247.0,1
5,1,2,0,0,66.0,2262,155.0,1
0,1,1,0,0,47.0,2,89.0,1
2,1,2,1,0,39.0,2,180.0,1
9,1,1,1,1,35.0,4508,854.0,1
0,0,1,1,0,35.0,-402,46.0,1
9,1,1,1,0,27.0,1577,266.0,2
1,1,1,1,0,32.0,34,321.0,2
4,1,2,0,0,44.0,795,99.0,24
1,1,1,1,0,42.0,117,147.0,1
6,3,2,0,1,34.0,5462,430.0,1
7,2,1,0,0,25.0,402,264.0,1
9,2,1,0,0,40.0,641,156.0,6
4,0,2,0,0,43.0,36,118.0,1
10,1,2,0,0,55.0,383,343.0,3
1,1,1,1,0,50.0,283,226.0,3
4,0,2,0,0,45.0,0,5.0,1
1,0,1,1,0,35.0,3102,138.0,1
1,1,1,1,1,32.0,889,185.0,1
3,1,1,0,0,59.0,0,722.0,1
6,1,1,1,0,34.0,-370,748.0,1
4,1,2,1,0,39.0,-606,142.0,1
4,2,1,1,0,40.0,10378,523.0,3
1,2,0,1,0,36.0,1313,8.0,10
4,1,2,1,0,40.0,8969,153.0,1
6,1,1,1,0,55.0,-196,210.0,2
2,1,1,1,0,38.0,15,121.0,1
0,1,1,0,1,61.0,4608,212.0,1
4,1,2,1,0,41.0,666,253.0,3
1,1,0,1,0,57.0,452,139.0,4
1,1,1,1,0,48.0,149,71.0,1
5,1,2,0,1,77.0,7802,421.0,1
7,1,1,1,0,35.0,1453,199.0,1
1,1,1,1,0,54.0,1480,108.0,1
4,2,3,1,0,37.0,715,247.0,2
4,2,1,1,0,56.0,237,236.0,4
9,1,1,1,0,40.0,694,97.0,4
4,1,2,0,0,40.0,0,109.0,8
4,1,2,1,0,54.0,55,112.0,2
3,1,0,1,0,55.0,136,15.0,10
7,0,1,1,0,55.0,-404,502.0,3
1,1,0,1,0,52.0,779,30.0,3
1,2,0,1,0,55.0,1187,193.0,2
4,1,2,1,0,33.0,641,347.0,2
1,1,3,1,0,52.0,826,468.0,2
7,0,1,1,0,33.0,991,148.0,1
0,1,1,0,1,53.0,1796,295.0,1
0,1,1,0,1,46.0,22,388.0,6
9,2,1,1,1,44.0,244,1735.0,4
4,0,2,1,0,48.0,1328,339.0,1
3,1,1,1,0,50.0,7317,172.0,1
9,2,1,1,0,34.0,4943,117.0,2
9,2,1,0,0,38.0,258,587.0,2
4,2,2,1,0,42.0,515,501.0,2
4,2,2,0,0,32.0,12607,203.0,5
0,1,1,1,0,58.0,2,282.0,9
4,1,2,0,0,31.0,13,110.0,5
8,2,0,0,1,19.0,103,104.0,2
4,1,2,0,0,41.0,3872,231.0,1
10,1,1,1,0,31.0,296,378.0,3
6,2,0,0,0,52.0,217,193.0,6
6,0,2,1,0,42.0,360,110.0,5
1,2,1,1,0,41.0,428,92.0,1
1,2,1,0,1,30.0,315,1407.0,1
1,1,1,1,0,38.0,121,168.0,1
4,1,2,1,0,32.0,820,738.0,3
9,1,1,1,1,52.0,195,220.0,1
4,0,2,1,0,48.0,108,89.0,2
4,1,2,1,0,36.0,-381,30.0,29
10,0,0,0,0,45.0,757,103.0,1
9,1,2,1,0,34.0,691,70.0,1
1,1,0,1,1,36.0,1925,904.0,2
4,1,2,1,0,34.0,902,159.0,1
5,1,1,0,0,61.0,5207,336.0,1
7,1,1,0,0,54.0,0,220.0,1
2,1,1,0,0,50.0,665,238.0,1
0,0,1,1,0,43.0,738,585.0,4
1,1,0,0,0,47.0,233,293.0,3
7,1,1,1,0,45.0,-839,68.0,1
5,1,0,0,0,57.0,5799,97.0,1
0,1,1,1,0,27.0,1033,1713.0,1
10,0,1,0,0,49.0,66,218.0,3
7,1,0,1,0,43.0,2567,109.0,1
4,1,2,1,0,40.0,1584,661.0,1
7,2,1,1,0,32.0,182,145.0,1
4,1,0,1,0,58.0,76,54.0,4
0,2,1,1,0,34.0,663,111.0,1
9,0,1,1,0,46.0,3455,566.0,2
1,1,1,0,0,29.0,15,136.0,1
1,1,0,0,0,52.0,1054,273.0,1
4,1,2,0,0,45.0,1529,160.0,1
4,2,1,0,0,26.0,63,76.0,4
9,1,2,0,0,40.0,0,44.0,1
0,1,1,1,0,41.0,920,239.0,1
0,2,1,0,1,47.0,3696,250.0,2
9,2,3,0,0,27.0,59,792.0,4
7,1,1,1,0,27.0,0,198.0,13
1,1,1,1,0,48.0,157,73.0,1
0,1,1,0,0,49.0,2465,157.0,3
1,1,0,1,0,35.0,0,90.0,6
6,1,1,0,0,47.0,2,236.0,2
4,1,2,0,0,54.0,0,118.0,5
4,2,2,0,0,39.0,12437,40.0,1
8,2,1,1,0,28.0,378,346.0,1
1,1,0,0,0,54.0,211,200.0,2
9,1,1,1,0,34.0,-228,187.0,3
5,1,1,0,0,63.0,2747,113.0,1
6,1,2,1,0,42.0,1932,192.0,32
9,2,1,0,0,43.0,11269,92.0,1
0,1,1,1,0,37.0,1314,682.0,2
1,1,0,0,0,55.0,2275,139.0,9
4,2,2,0,1,43.0,1304,501.0,2
1,1,1,0,1,41.0,720,651.0,1
9,0,1,1,0,47.0,2914,405.0,13
9,1,1,1,0,34.0,1464,350.0,1
8,2,1,0,0,28.0,11555,125.0,2
7,1,1,1,0,36.0,-302,36.0,2
9,1,1,1,0,50.0,2497,35.0,1
1,1,1,1,0,35.0,-339,389.0,2
9,1,1,1,0,40.0,56,194.0,1
6,2,2,0,0,26.0,211,168.0,3
4,0,2,1,0,36.0,3611,347.0,3
10,1,0,0,0,59.0,0,3025.0,2
8,2,1,0,0,28.0,459,83.0,13
2,1,3,1,0,46.0,242,332.0,2
6,1,1,0,0,50.0,1138,219.0,10
4,1,2,1,0,53.0,1319,427.0,1
5,1,1,0,0,81.0,1,65.0,5
7,0,1,1,0,35.0,67,192.0,2
5,1,3,0,0,58.0,937,155.0,1
7,1,1,1,0,44.0,0,161.0,1
4,1,2,1,0,38.0,-558,533.0,1
1,1,1,0,0,49.0,171,19.0,3
9,2,2,0,0,33.0,696,193.0,1
4,1,2,1,0,29.0,361,819.0,3
9,2,1,0,1,28.0,227,278.0,1
0,1,1,1,0,31.0,236,211.0,3
4,2,2,0,0,33.0,-53,617.0,2
9,1,1,1,0,52.0,192,61.0,2
4,0,2,1,0,43.0,38,197.0,6
6,2,1,1,0,32.0,518,34.0,7
6,1,2,1,0,36.0,16,95.0,4
1,1,1,1,0,41.0,-256,147.0,2
1,1,1,0,0,43.0,105,668.0,2
6,1,2,0,0,45.0,334,87.0,2
9,1,1,0,0,39.0,1048,405.0,1
7,1,1,1,0,41.0,108,83.0,7
9,1,1,0,0,31.0,660,115.0,1
10,2,2,1,0,37.0,0,108.0,1
2,1,3,0,0,28.0,1034,113.0,1
3,1,0,1,0,47.0,201,58.0,2
3,1,0,0,0,37.0,189,148.0,4
5,0,3,1,0,60.0,-49,188.0,1
9,0,1,1,0,43.0,1413,75.0,3
5,0,2,1,0,58.0,264,523.0,3
2,1,2,1,0,52.0,54,103.0,1
1,1,0,1,0,50.0,12519,146.0,2
7,2,1,0,1,32.0,2881,356.0,1
1,1,0,1,0,42.0,0,71.0,1
0,1,1,1,0,31.0,88,189.0,2
1,1,1,1,0,28.0,1020,251.0,1
9,0,2,0,0,36.0,119,127.0,8
10,2,2,0,0,51.0,1594,197.0,1
9,1,2,1,0,46.0,342,84.0,1
7,2,1,0,0,50.0,72,141.0,2
1,1,1,1,0,32.0,14,171.0,1
2,2,2,0,0,26.0,81,262.0,3
6,1,2,0,1,41.0,231,352.0,2
9,1,2,1,0,39.0,1161,236.0,1
1,1,1,1,0,31.0,-45,184.0,1
4,2,2,1,0,28.0,231,568.0,2
4,2,1,0,0,31.0,36,105.0,2
9,1,2,1,0,30.0,1570,260.0,1
9,1,2,0,1,35.0,7050,222.0,3
1,1,0,1,0,33.0,3704,447.0,2
